global_step,episodic_return,episode,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
622,11.0,30,1738582116,,False,30,faa54_00001,2025-02-03_12-28-36,0.0020627975463867188,2.668072462081909,21272,DESKTOP-7C8NE51,127.0.0.1,2.668072462081909,30
658,35.0,31,1738582116,,False,31,faa54_00001,2025-02-03_12-28-36,0.005624532699584961,2.673696994781494,21272,DESKTOP-7C8NE51,127.0.0.1,2.673696994781494,31
711,52.0,32,1738582116,,False,32,faa54_00001,2025-02-03_12-28-36,0.010407686233520508,2.6841046810150146,21272,DESKTOP-7C8NE51,127.0.0.1,2.6841046810150146,32
725,13.0,33,1738582116,,False,33,faa54_00001,2025-02-03_12-28-36,0.003155231475830078,2.6872599124908447,21272,DESKTOP-7C8NE51,127.0.0.1,2.6872599124908447,33
738,12.0,34,1738582116,,False,34,faa54_00001,2025-02-03_12-28-36,0.0034105777740478516,2.6906704902648926,21272,DESKTOP-7C8NE51,127.0.0.1,2.6906704902648926,34
768,29.0,35,1738582116,,False,35,faa54_00001,2025-02-03_12-28-36,0.0068819522857666016,2.697552442550659,21272,DESKTOP-7C8NE51,127.0.0.1,2.697552442550659,35
785,16.0,36,1738582116,,False,36,faa54_00001,2025-02-03_12-28-36,0.001995086669921875,2.699547529220581,21272,DESKTOP-7C8NE51,127.0.0.1,2.699547529220581,36
798,12.0,37,1738582116,,False,37,faa54_00001,2025-02-03_12-28-36,0.0020170211791992188,2.7015645503997803,21272,DESKTOP-7C8NE51,127.0.0.1,2.7015645503997803,37
809,10.0,38,1738582116,,False,38,faa54_00001,2025-02-03_12-28-36,0.001995086669921875,2.703559637069702,21272,DESKTOP-7C8NE51,127.0.0.1,2.703559637069702,38
820,10.0,39,1738582116,,False,39,faa54_00001,2025-02-03_12-28-36,0.0020208358764648438,2.705580472946167,21272,DESKTOP-7C8NE51,127.0.0.1,2.705580472946167,39
851,30.0,40,1738582116,,False,40,faa54_00001,2025-02-03_12-28-36,0.003504514694213867,2.709084987640381,21272,DESKTOP-7C8NE51,127.0.0.1,2.709084987640381,40
867,15.0,41,1738582116,,False,41,faa54_00001,2025-02-03_12-28-36,0.0009968280792236328,2.7100818157196045,21272,DESKTOP-7C8NE51,127.0.0.1,2.7100818157196045,41
895,27.0,42,1738582116,,False,42,faa54_00001,2025-02-03_12-28-36,0.003690004348754883,2.7137718200683594,21272,DESKTOP-7C8NE51,127.0.0.1,2.7137718200683594,42
936,40.0,43,1738582116,,False,43,faa54_00001,2025-02-03_12-28-36,0.006981611251831055,2.7207534313201904,21272,DESKTOP-7C8NE51,127.0.0.1,2.7207534313201904,43
953,16.0,44,1738582116,,False,44,faa54_00001,2025-02-03_12-28-36,0.002991199493408203,2.7237446308135986,21272,DESKTOP-7C8NE51,127.0.0.1,2.7237446308135986,44
966,12.0,45,1738582116,,False,45,faa54_00001,2025-02-03_12-28-36,0.0009970664978027344,2.7247416973114014,21272,DESKTOP-7C8NE51,127.0.0.1,2.7247416973114014,45
994,27.0,46,1738582116,,False,46,faa54_00001,2025-02-03_12-28-36,0.004122018814086914,2.7288637161254883,21272,DESKTOP-7C8NE51,127.0.0.1,2.7288637161254883,46
1001,,,1738582116,,False,47,faa54_00001,2025-02-03_12-28-36,0.00849461555480957,2.737358331680298,21272,DESKTOP-7C8NE51,127.0.0.1,2.737358331680298,47
1002,,,1738582116,,False,48,faa54_00001,2025-02-03_12-28-36,0.004663944244384766,2.7420222759246826,21272,DESKTOP-7C8NE51,127.0.0.1,2.7420222759246826,48
1003,,,1738582117,,False,49,faa54_00001,2025-02-03_12-28-37,0.0035295486450195312,2.745551824569702,21272,DESKTOP-7C8NE51,127.0.0.1,2.745551824569702,49
1004,,,1738582117,,False,50,faa54_00001,2025-02-03_12-28-37,0.004166126251220703,2.749717950820923,21272,DESKTOP-7C8NE51,127.0.0.1,2.749717950820923,50
1005,,,1738582117,,False,51,faa54_00001,2025-02-03_12-28-37,0.00380706787109375,2.7535250186920166,21272,DESKTOP-7C8NE51,127.0.0.1,2.7535250186920166,51
1006,,,1738582117,,False,52,faa54_00001,2025-02-03_12-28-37,0.002993345260620117,2.7565183639526367,21272,DESKTOP-7C8NE51,127.0.0.1,2.7565183639526367,52
1007,,,1738582117,,False,53,faa54_00001,2025-02-03_12-28-37,0.0044744014739990234,2.7609927654266357,21272,DESKTOP-7C8NE51,127.0.0.1,2.7609927654266357,53
1008,,,1738582117,,False,54,faa54_00001,2025-02-03_12-28-37,0.002990245819091797,2.7639830112457275,21272,DESKTOP-7C8NE51,127.0.0.1,2.7639830112457275,54
1009,,,1738582117,,False,55,faa54_00001,2025-02-03_12-28-37,0.004017829895019531,2.768000841140747,21272,DESKTOP-7C8NE51,127.0.0.1,2.768000841140747,55
1010,,,1738582117,,False,56,faa54_00001,2025-02-03_12-28-37,0.0034635066986083984,2.7714643478393555,21272,DESKTOP-7C8NE51,127.0.0.1,2.7714643478393555,56
1011,,,1738582117,,False,57,faa54_00001,2025-02-03_12-28-37,0.0034329891204833984,2.774897336959839,21272,DESKTOP-7C8NE51,127.0.0.1,2.774897336959839,57
1012,,,1738582117,,False,58,faa54_00001,2025-02-03_12-28-37,0.003989458084106445,2.7788867950439453,21272,DESKTOP-7C8NE51,127.0.0.1,2.7788867950439453,58
1013,,,1738582117,,False,59,faa54_00001,2025-02-03_12-28-37,0.0032088756561279297,2.7820956707000732,21272,DESKTOP-7C8NE51,127.0.0.1,2.7820956707000732,59
1014,,,1738582117,,False,60,faa54_00001,2025-02-03_12-28-37,0.0029892921447753906,2.7850849628448486,21272,DESKTOP-7C8NE51,127.0.0.1,2.7850849628448486,60
1015,,,1738582117,,False,61,faa54_00001,2025-02-03_12-28-37,0.003988742828369141,2.7890737056732178,21272,DESKTOP-7C8NE51,127.0.0.1,2.7890737056732178,61
1016,,,1738582117,,False,62,faa54_00001,2025-02-03_12-28-37,0.004081249237060547,2.7931549549102783,21272,DESKTOP-7C8NE51,127.0.0.1,2.7931549549102783,62
1017,22.0,47,1738582117,,False,63,faa54_00001,2025-02-03_12-28-37,0.003009319305419922,2.7961642742156982,21272,DESKTOP-7C8NE51,127.0.0.1,2.7961642742156982,63
1018,,,1738582117,,False,64,faa54_00001,2025-02-03_12-28-37,0.0031392574310302734,2.7993035316467285,21272,DESKTOP-7C8NE51,127.0.0.1,2.7993035316467285,64
1019,,,1738582117,,False,65,faa54_00001,2025-02-03_12-28-37,0.0029942989349365234,2.802297830581665,21272,DESKTOP-7C8NE51,127.0.0.1,2.802297830581665,65
1020,,,1738582117,,False,66,faa54_00001,2025-02-03_12-28-37,0.004232883453369141,2.806530714035034,21272,DESKTOP-7C8NE51,127.0.0.1,2.806530714035034,66
1021,,,1738582117,,False,67,faa54_00001,2025-02-03_12-28-37,0.0030341148376464844,2.8095648288726807,21272,DESKTOP-7C8NE51,127.0.0.1,2.8095648288726807,67
1022,,,1738582117,,False,68,faa54_00001,2025-02-03_12-28-37,0.0030274391174316406,2.8125922679901123,21272,DESKTOP-7C8NE51,127.0.0.1,2.8125922679901123,68
1023,,,1738582117,,False,69,faa54_00001,2025-02-03_12-28-37,0.0030291080474853516,2.8156213760375977,21272,DESKTOP-7C8NE51,127.0.0.1,2.8156213760375977,69
1024,,,1738582117,,False,70,faa54_00001,2025-02-03_12-28-37,0.004065990447998047,2.8196873664855957,21272,DESKTOP-7C8NE51,127.0.0.1,2.8196873664855957,70
1025,,,1738582117,,False,71,faa54_00001,2025-02-03_12-28-37,0.003961324691772461,2.823648691177368,21272,DESKTOP-7C8NE51,127.0.0.1,2.823648691177368,71
1026,,,1738582117,,False,72,faa54_00001,2025-02-03_12-28-37,0.0046498775482177734,2.828298568725586,21272,DESKTOP-7C8NE51,127.0.0.1,2.828298568725586,72
1027,,,1738582117,,False,73,faa54_00001,2025-02-03_12-28-37,0.004149436950683594,2.8324480056762695,21272,DESKTOP-7C8NE51,127.0.0.1,2.8324480056762695,73
1028,,,1738582117,,False,74,faa54_00001,2025-02-03_12-28-37,0.0051267147064208984,2.8375747203826904,21272,DESKTOP-7C8NE51,127.0.0.1,2.8375747203826904,74
1029,,,1738582117,,False,75,faa54_00001,2025-02-03_12-28-37,0.003824949264526367,2.841399669647217,21272,DESKTOP-7C8NE51,127.0.0.1,2.841399669647217,75
1030,,,1738582117,,False,76,faa54_00001,2025-02-03_12-28-37,0.004995584487915039,2.846395254135132,21272,DESKTOP-7C8NE51,127.0.0.1,2.846395254135132,76
1031,,,1738582117,,False,77,faa54_00001,2025-02-03_12-28-37,0.002991199493408203,2.84938645362854,21272,DESKTOP-7C8NE51,127.0.0.1,2.84938645362854,77
1032,,,1738582117,,False,78,faa54_00001,2025-02-03_12-28-37,0.00410151481628418,2.853487968444824,21272,DESKTOP-7C8NE51,127.0.0.1,2.853487968444824,78
1033,,,1738582117,,False,79,faa54_00001,2025-02-03_12-28-37,0.0030183792114257812,2.85650634765625,21272,DESKTOP-7C8NE51,127.0.0.1,2.85650634765625,79
1034,,,1738582117,,False,80,faa54_00001,2025-02-03_12-28-37,0.004245281219482422,2.8607516288757324,21272,DESKTOP-7C8NE51,127.0.0.1,2.8607516288757324,80
1035,,,1738582117,,False,81,faa54_00001,2025-02-03_12-28-37,0.004133462905883789,2.864885091781616,21272,DESKTOP-7C8NE51,127.0.0.1,2.864885091781616,81
1036,18.0,48,1738582117,,False,82,faa54_00001,2025-02-03_12-28-37,0.003944873809814453,2.8688299655914307,21272,DESKTOP-7C8NE51,127.0.0.1,2.8688299655914307,82
1037,,,1738582117,,False,83,faa54_00001,2025-02-03_12-28-37,0.0038352012634277344,2.8726651668548584,21272,DESKTOP-7C8NE51,127.0.0.1,2.8726651668548584,83
1038,,,1738582117,,False,84,faa54_00001,2025-02-03_12-28-37,0.003991842269897461,2.876657009124756,21272,DESKTOP-7C8NE51,127.0.0.1,2.876657009124756,84
1039,,,1738582117,,False,85,faa54_00001,2025-02-03_12-28-37,0.0036842823028564453,2.8803412914276123,21272,DESKTOP-7C8NE51,127.0.0.1,2.8803412914276123,85
1040,,,1738582117,,False,86,faa54_00001,2025-02-03_12-28-37,0.004753589630126953,2.8850948810577393,21272,DESKTOP-7C8NE51,127.0.0.1,2.8850948810577393,86
1041,,,1738582117,,False,87,faa54_00001,2025-02-03_12-28-37,0.0030181407928466797,2.888113021850586,21272,DESKTOP-7C8NE51,127.0.0.1,2.888113021850586,87
1042,,,1738582117,,False,88,faa54_00001,2025-02-03_12-28-37,0.004742622375488281,2.892855644226074,21272,DESKTOP-7C8NE51,127.0.0.1,2.892855644226074,88
1043,,,1738582117,,False,89,faa54_00001,2025-02-03_12-28-37,0.003148317337036133,2.8960039615631104,21272,DESKTOP-7C8NE51,127.0.0.1,2.8960039615631104,89
1044,,,1738582117,,False,90,faa54_00001,2025-02-03_12-28-37,0.003992795944213867,2.899996757507324,21272,DESKTOP-7C8NE51,127.0.0.1,2.899996757507324,90
1045,,,1738582117,,False,91,faa54_00001,2025-02-03_12-28-37,0.0029897689819335938,2.902986526489258,21272,DESKTOP-7C8NE51,127.0.0.1,2.902986526489258,91
1046,,,1738582117,,False,92,faa54_00001,2025-02-03_12-28-37,0.0033712387084960938,2.906357765197754,21272,DESKTOP-7C8NE51,127.0.0.1,2.906357765197754,92
1047,,,1738582117,,False,93,faa54_00001,2025-02-03_12-28-37,0.0038950443267822266,2.910252809524536,21272,DESKTOP-7C8NE51,127.0.0.1,2.910252809524536,93
1048,,,1738582117,,False,94,faa54_00001,2025-02-03_12-28-37,0.004191160202026367,2.9144439697265625,21272,DESKTOP-7C8NE51,127.0.0.1,2.9144439697265625,94
1049,,,1738582117,,False,95,faa54_00001,2025-02-03_12-28-37,0.0039861202239990234,2.9184300899505615,21272,DESKTOP-7C8NE51,127.0.0.1,2.9184300899505615,95
1050,,,1738582117,,False,96,faa54_00001,2025-02-03_12-28-37,0.00399017333984375,2.9224202632904053,21272,DESKTOP-7C8NE51,127.0.0.1,2.9224202632904053,96
1051,,,1738582117,,False,97,faa54_00001,2025-02-03_12-28-37,0.005637407302856445,2.9280576705932617,21272,DESKTOP-7C8NE51,127.0.0.1,2.9280576705932617,97
1052,15.0,49,1738582117,,False,98,faa54_00001,2025-02-03_12-28-37,0.0032334327697753906,2.931291103363037,21272,DESKTOP-7C8NE51,127.0.0.1,2.931291103363037,98
1053,,,1738582117,,False,99,faa54_00001,2025-02-03_12-28-37,0.004986763000488281,2.9362778663635254,21272,DESKTOP-7C8NE51,127.0.0.1,2.9362778663635254,99
1054,,,1738582117,,False,100,faa54_00001,2025-02-03_12-28-37,0.0028498172760009766,2.9391276836395264,21272,DESKTOP-7C8NE51,127.0.0.1,2.9391276836395264,100
1055,,,1738582117,,False,101,faa54_00001,2025-02-03_12-28-37,0.004556179046630859,2.9436838626861572,21272,DESKTOP-7C8NE51,127.0.0.1,2.9436838626861572,101
1056,,,1738582117,,False,102,faa54_00001,2025-02-03_12-28-37,0.004759550094604492,2.9484434127807617,21272,DESKTOP-7C8NE51,127.0.0.1,2.9484434127807617,102
1057,,,1738582117,,False,103,faa54_00001,2025-02-03_12-28-37,0.003644227981567383,2.952087640762329,21272,DESKTOP-7C8NE51,127.0.0.1,2.952087640762329,103
1058,,,1738582117,,False,104,faa54_00001,2025-02-03_12-28-37,0.007309436798095703,2.959397077560425,21272,DESKTOP-7C8NE51,127.0.0.1,2.959397077560425,104
1059,,,1738582117,,False,105,faa54_00001,2025-02-03_12-28-37,0.004828929901123047,2.964226007461548,21272,DESKTOP-7C8NE51,127.0.0.1,2.964226007461548,105
1060,,,1738582117,,False,106,faa54_00001,2025-02-03_12-28-37,0.005985260009765625,2.9702112674713135,21272,DESKTOP-7C8NE51,127.0.0.1,2.9702112674713135,106
1061,,,1738582117,,False,107,faa54_00001,2025-02-03_12-28-37,0.007820606231689453,2.978031873703003,21272,DESKTOP-7C8NE51,127.0.0.1,2.978031873703003,107
1062,,,1738582117,,False,108,faa54_00001,2025-02-03_12-28-37,0.007762432098388672,2.9857943058013916,21272,DESKTOP-7C8NE51,127.0.0.1,2.9857943058013916,108
1063,,,1738582118,,False,109,faa54_00001,2025-02-03_12-28-38,0.00550079345703125,2.991295099258423,21272,DESKTOP-7C8NE51,127.0.0.1,2.991295099258423,109
1064,,,1738582118,,False,110,faa54_00001,2025-02-03_12-28-38,0.005316734313964844,2.9966118335723877,21272,DESKTOP-7C8NE51,127.0.0.1,2.9966118335723877,110
1065,,,1738582118,,False,111,faa54_00001,2025-02-03_12-28-38,0.007326841354370117,3.003938674926758,21272,DESKTOP-7C8NE51,127.0.0.1,3.003938674926758,111
1066,,,1738582118,,False,112,faa54_00001,2025-02-03_12-28-38,0.006002902984619141,3.009941577911377,21272,DESKTOP-7C8NE51,127.0.0.1,3.009941577911377,112
1067,,,1738582118,,False,113,faa54_00001,2025-02-03_12-28-38,0.0049779415130615234,3.0149195194244385,21272,DESKTOP-7C8NE51,127.0.0.1,3.0149195194244385,113
1068,,,1738582118,,False,114,faa54_00001,2025-02-03_12-28-38,0.004469156265258789,3.0193886756896973,21272,DESKTOP-7C8NE51,127.0.0.1,3.0193886756896973,114
1069,16.0,50,1738582118,,False,115,faa54_00001,2025-02-03_12-28-38,0.005327939987182617,3.02471661567688,21272,DESKTOP-7C8NE51,127.0.0.1,3.02471661567688,115
1070,,,1738582118,,False,116,faa54_00001,2025-02-03_12-28-38,0.008929967880249023,3.033646583557129,21272,DESKTOP-7C8NE51,127.0.0.1,3.033646583557129,116
1071,,,1738582118,,False,117,faa54_00001,2025-02-03_12-28-38,0.0037698745727539062,3.037416458129883,21272,DESKTOP-7C8NE51,127.0.0.1,3.037416458129883,117
1072,,,1738582118,,False,118,faa54_00001,2025-02-03_12-28-38,0.006241321563720703,3.0436577796936035,21272,DESKTOP-7C8NE51,127.0.0.1,3.0436577796936035,118
1073,,,1738582118,,False,119,faa54_00001,2025-02-03_12-28-38,0.005252838134765625,3.048910617828369,21272,DESKTOP-7C8NE51,127.0.0.1,3.048910617828369,119
1074,,,1738582118,,False,120,faa54_00001,2025-02-03_12-28-38,0.0063054561614990234,3.055216073989868,21272,DESKTOP-7C8NE51,127.0.0.1,3.055216073989868,120
1075,,,1738582118,,False,121,faa54_00001,2025-02-03_12-28-38,0.0070858001708984375,3.0623018741607666,21272,DESKTOP-7C8NE51,127.0.0.1,3.0623018741607666,121
1076,,,1738582118,,False,122,faa54_00001,2025-02-03_12-28-38,0.003909587860107422,3.066211462020874,21272,DESKTOP-7C8NE51,127.0.0.1,3.066211462020874,122
1077,,,1738582118,,False,123,faa54_00001,2025-02-03_12-28-38,0.0047626495361328125,3.070974111557007,21272,DESKTOP-7C8NE51,127.0.0.1,3.070974111557007,123
1078,,,1738582118,,False,124,faa54_00001,2025-02-03_12-28-38,0.008278131484985352,3.079252243041992,21272,DESKTOP-7C8NE51,127.0.0.1,3.079252243041992,124
1079,,,1738582118,,False,125,faa54_00001,2025-02-03_12-28-38,0.005808115005493164,3.0850603580474854,21272,DESKTOP-7C8NE51,127.0.0.1,3.0850603580474854,125
1080,10.0,51,1738582118,,False,126,faa54_00001,2025-02-03_12-28-38,0.0063669681549072266,3.0914273262023926,21272,DESKTOP-7C8NE51,127.0.0.1,3.0914273262023926,126
1081,,,1738582118,,False,127,faa54_00001,2025-02-03_12-28-38,0.0050961971282958984,3.0965235233306885,21272,DESKTOP-7C8NE51,127.0.0.1,3.0965235233306885,127
1082,,,1738582118,,False,128,faa54_00001,2025-02-03_12-28-38,0.004538297653198242,3.1010618209838867,21272,DESKTOP-7C8NE51,127.0.0.1,3.1010618209838867,128
1083,,,1738582118,,False,129,faa54_00001,2025-02-03_12-28-38,0.004867076873779297,3.105928897857666,21272,DESKTOP-7C8NE51,127.0.0.1,3.105928897857666,129
1084,,,1738582118,,False,130,faa54_00001,2025-02-03_12-28-38,0.004270315170288086,3.110199213027954,21272,DESKTOP-7C8NE51,127.0.0.1,3.110199213027954,130
1085,,,1738582118,,False,131,faa54_00001,2025-02-03_12-28-38,0.005552053451538086,3.115751266479492,21272,DESKTOP-7C8NE51,127.0.0.1,3.115751266479492,131
1086,,,1738582118,,False,132,faa54_00001,2025-02-03_12-28-38,0.007177591323852539,3.1229288578033447,21272,DESKTOP-7C8NE51,127.0.0.1,3.1229288578033447,132
1087,,,1738582118,,False,133,faa54_00001,2025-02-03_12-28-38,0.005407810211181641,3.1283366680145264,21272,DESKTOP-7C8NE51,127.0.0.1,3.1283366680145264,133
1088,,,1738582118,,False,134,faa54_00001,2025-02-03_12-28-38,0.0046231746673583984,3.1329598426818848,21272,DESKTOP-7C8NE51,127.0.0.1,3.1329598426818848,134
1089,,,1738582118,,False,135,faa54_00001,2025-02-03_12-28-38,0.004228115081787109,3.137187957763672,21272,DESKTOP-7C8NE51,127.0.0.1,3.137187957763672,135
1090,,,1738582118,,False,136,faa54_00001,2025-02-03_12-28-38,0.004351139068603516,3.1415390968322754,21272,DESKTOP-7C8NE51,127.0.0.1,3.1415390968322754,136
1091,,,1738582118,,False,137,faa54_00001,2025-02-03_12-28-38,0.0047206878662109375,3.1462597846984863,21272,DESKTOP-7C8NE51,127.0.0.1,3.1462597846984863,137
1092,,,1738582118,,False,138,faa54_00001,2025-02-03_12-28-38,0.005738258361816406,3.1519980430603027,21272,DESKTOP-7C8NE51,127.0.0.1,3.1519980430603027,138
1093,,,1738582118,,False,139,faa54_00001,2025-02-03_12-28-38,0.004632234573364258,3.156630277633667,21272,DESKTOP-7C8NE51,127.0.0.1,3.156630277633667,139
1094,,,1738582118,,False,140,faa54_00001,2025-02-03_12-28-38,0.004660606384277344,3.1612908840179443,21272,DESKTOP-7C8NE51,127.0.0.1,3.1612908840179443,140
1095,,,1738582118,,False,141,faa54_00001,2025-02-03_12-28-38,0.006124258041381836,3.167415142059326,21272,DESKTOP-7C8NE51,127.0.0.1,3.167415142059326,141
1096,,,1738582118,,False,142,faa54_00001,2025-02-03_12-28-38,0.004292726516723633,3.17170786857605,21272,DESKTOP-7C8NE51,127.0.0.1,3.17170786857605,142
1097,16.0,52,1738582118,,False,143,faa54_00001,2025-02-03_12-28-38,0.004881143569946289,3.176589012145996,21272,DESKTOP-7C8NE51,127.0.0.1,3.176589012145996,143
1098,,,1738582118,,False,144,faa54_00001,2025-02-03_12-28-38,0.005358219146728516,3.1819472312927246,21272,DESKTOP-7C8NE51,127.0.0.1,3.1819472312927246,144
1099,,,1738582118,,False,145,faa54_00001,2025-02-03_12-28-38,0.004798412322998047,3.1867456436157227,21272,DESKTOP-7C8NE51,127.0.0.1,3.1867456436157227,145
1100,,,1738582118,,False,146,faa54_00001,2025-02-03_12-28-38,0.005044460296630859,3.1917901039123535,21272,DESKTOP-7C8NE51,127.0.0.1,3.1917901039123535,146
1101,,,1738582118,,False,147,faa54_00001,2025-02-03_12-28-38,0.0069789886474609375,3.1987690925598145,21272,DESKTOP-7C8NE51,127.0.0.1,3.1987690925598145,147
1102,,,1738582118,,False,148,faa54_00001,2025-02-03_12-28-38,0.005272865295410156,3.2040419578552246,21272,DESKTOP-7C8NE51,127.0.0.1,3.2040419578552246,148
1103,,,1738582118,,False,149,faa54_00001,2025-02-03_12-28-38,0.004349470138549805,3.2083914279937744,21272,DESKTOP-7C8NE51,127.0.0.1,3.2083914279937744,149
1104,,,1738582118,,False,150,faa54_00001,2025-02-03_12-28-38,0.005335569381713867,3.2137269973754883,21272,DESKTOP-7C8NE51,127.0.0.1,3.2137269973754883,150
1105,,,1738582118,,False,151,faa54_00001,2025-02-03_12-28-38,0.005795478820800781,3.219522476196289,21272,DESKTOP-7C8NE51,127.0.0.1,3.219522476196289,151
